Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
5/27/18,"3,407","5,347",2.52,2,825,209,21,6,"1,260"
5/28/18,"3,213","3,875",1.83,2,668,164,0,0,922
5/29/18,"3,466","6,448",3.04,0,899,254,9,0,"1,427"
5/30/18,"3,324","5,519",2.6,1,"1,201",217,19,3,"1,264"
5/31/18,"3,420","5,879",2.77,3,735,230,5,6,"1,349"
6/1/18,"3,513","6,916",3.26,0,690,279,10,2,"1,527"
6/2/18,"2,742","2,946",1.39,3,717,171,0,0,752
6/3/18,"3,765","6,815",3.21,2,545,201,42,29,"1,834"
6/4/18,"3,585","6,162",2.91,6,"1,171",225,36,8,"1,530"
6/5/18,"3,189","4,486",2.12,4,823,177,10,0,"1,022"
6/6/18,"2,145",0,0,0,"1,440",0,0,0,0
6/7/18,"2,146",0,0,0,"1,440",0,0,0,0
6/8/18,"2,465","1,929",0.91,1,"1,361",79,0,0,389
6/9/18,"2,859","3,130",1.48,7,835,127,24,1,780
6/10/18,"3,432","7,029",3.32,7,728,230,35,9,"1,549"
6/11/18,"2,146",0,0,0,"1,440",0,0,0,0
6/12/18,"3,352","4,535",2.14,1,"1,224",186,20,10,"1,241"
6/13/18,"3,335","6,344",2.99,4,"1,186",241,5,8,"1,333"
6/14/18,"3,533","8,316",3.92,10,591,287,22,1,"1,684"
6/15/18,"3,422","7,249",3.42,14,693,275,11,8,"1,586"
6/16/18,"3,313","7,806",3.68,15,749,237,18,7,"1,422"
6/17/18,"2,940","3,544",1.67,6,862,132,9,1,791
6/18/18,"3,385","6,189",2.92,1,744,224,5,6,"1,298"
6/19/18,"3,560","6,055",2.86,2,686,246,15,4,"1,500"
6/20/18,"3,256","5,665",2.67,2,722,219,0,0,"1,211"
6/21/18,"3,430","6,480",3.06,4,654,235,18,3,"1,388"
6/22/18,"3,290","5,805",2.74,3,"1,179",235,2,9,"1,278"
6/23/18,"3,134","2,996",1.41,2,801,130,10,18,"1,079"
6/24/18,"3,355","5,209",2.46,2,"1,121",243,0,10,"1,450"
6/25/18,"3,127","3,810",1.8,1,768,183,8,0,"1,032"
6/26/18,"2,144",0,0,0,"1,440",0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
